candidate,name_key,state,party,cycles,strength
NANCY A MURPHY,murphy nancy,NH,d,1,-6.356052551380856
NIKKI MURPHY,murphy nikki,NH,d,1,-43.54883173914685
"murphy, robert",murphy robert,MI,d,1,-5.916146670335454
TOM MURPHY,murphy tom,MN,r,1,-3.292551381541152
WILLIAM L MURPHY,murphy william,NY,d,1,-0.6382568589563746
"murphylopez, shaun",murphylopez shaun,WI,d,1,-6.924360802982752
"murray, patrick w",murray patrick,RI,r,1,-7.547154925159411
SUSAN MURRAY,murray susan,VT,r,1,-16.31632971839157
TARA L MURRAY,murray tara,MO,d,1,-5.315570363291836
"muscha, naomi t",muscha naomi,ND,d,1,12.322378235734439
"tahirkheli, mushtaq a",mushtaq tahirkheli,CA,d,1,-20.560630717589
"musland, pam",musland pam,ND,d,1,12.014495371732291
"muzzall, ron",muzzall ron,WA,r,2,-9.255998069722775
TONYA MYERS PHILLIPS,myers phillips tonya,MI,d,1,5.518641217009346
"myhra, pam",myhra pam,MN,r,1,-5.636250712213185
MYKALA VOITA,mykala voita,SD,r,1,-0.2204861444239583
"thai, mylinh",mylinh thai,WA,d,2,11.329725763753629
"rivers, myra",myra rivers,CT,r,1,9.548591294938346
"samuels, myron",myron samuels,SC,r,1,-0.4611820915571485
"tsosie, myron",myron tsosie,AZ,d,2,29.774936401106984
"syed, nabeela",nabeela syed,IL,d,2,-4.881551835804434
"sayegh, nader",nader sayegh,NY,d,2,-4.369719887973674
"nakamura, nadine k",nadine nakamura,HI,d,3,22.318365904022176
"nagel, philip",nagel philip,IL,r,2,10.402075239949248
"naghise, tish",naghise tish,GA,d,1,-5.16705313395293
"nahodil, ryne",nahodil ryne,WV,d,1,-12.411685966459068
"nail, warren s",nail warren,NC,r,1,11.474324468845893
RICH NALEVANKO,nalevanko rich,NH,r,1,-3.7188085091235696
"polk, nan",nan polk,IN,d,1,1.6428484539939134
"nathanson, nancy",nancy nathanson,OR,d,3,-0.965653296110767
"piche, nancy g",nancy piche,ME,d,1,-17.25351358854196
"price, nancy",nancy price,PA,r,1,2.965001531054831
"ragan, nancy j",nancy ragan,MO,d,1,-15.56995566966863
"rodriguez, nancy",nancy rodriguez,NM,d,1,4.354546171482703
NANCY S ROECKER,nancy roecker,NV,r,1,0.03165100386185571
"sangirardi, nancy",nancy sangirardi,OK,r,1,-2.40047270729428
NANCY M H SIMPSON,nancy simpson,FL,d,1,-4.255374498396446
"smith, nancy",nancy smith,MI,d,1,13.781413610455132
"tate, nancy j",nancy tate,KY,r,2,15.687340311102286
NANCY A VALDEZ,nancy valdez,HI,r,1,18.16818347787869
"vandermeer, nancy l",nancy vandermeer,WI,r,2,-7.887138274843055
"nangle, timothy e",nangle timothy,ME,d,2,-9.82925171104996
"nelson, napoleon j, sr",napoleon nelson,PA,d,3,-3.106375720916134
"napoli, ronald a, jr",napoli ronald,CT,d,2,12.180971073514804
"ricks, naquetta",naquetta ricks,CO,d,3,-3.6077781841116825
"reddy, narender",narender reddy,GA,r,2,-5.031343514517199
"narup, tripp",narup tripp,IA,d,2,-10.04424257332176
TODD NASH,nash todd,OR,r,1,-32.212772150787714
"nass, stephen l (steve) 1",nass stephen steve,WI,r,1,10.038095626639638
"nastasio, phyllis t",nastasio phyllis,NY,r,1,-4.577026656886389
"poulson, natalie",natalie poulson,WA,r,1,-1.3165059817037879
"price, natalie",natalie price,MI,d,2,-11.17855282296727
NATALIE QUEVEDO,natalie quevedo,NH,d,1,-0.16805351055573858
NATALIE STUCK,natalie stuck,PA,r,1,-14.901854092788245
NATALIE WELLS,natalie wells,NH,r,1,-3.51285400592683
NATALIE ZELEZNIKAR,natalie zeleznikar,MN,r,1,-4.979956362343676
"vonimhof, natasha a",natasha vonimhof,AK,r,1,4.635076353160773
"otto, nate",nate otto,WI,d,1,14.810215932271063
"roberts, nate",nate roberts,ID,d,1,8.797061408475823
"robertson, nate",nate robertson,FL,r,1,-9.517806373287868
"ross, nate j",nate ross,MI,r,1,30.04883604313856
"schatzline, nate",nate schatzline,TX,r,1,-3.1594431561496883
"shannon, nate",nate shannon,MI,d,3,0.7222124095658877
"zimdars, nate",nate zimdars,WI,d,1,-12.520267334509969
"nath, purnima",nath purnima,WI,r,1,-2.429296765832543
NATHAN NELSON,nathan nelson,MN,r,1,1.2017617003311685
NATHAN RAMKER,nathan ramker,IA,r,1,2.032710737437957
"reitz, nathan",nathan reitz,IL,d,1,24.100731892118453
"small, nathan p",nathan small,NM,d,2,-2.3306995418968897
"sosa, nathan",nathan sosa,OR,d,1,-11.59911498796054
"toman, nathan p",nathan toman,ND,r,1,-5.8356748059532535
"wadsworth, nathan j",nathan wadsworth,ME,r,2,-11.80339073339432
"wesenberg, nathan",nathan wesenberg,MN,r,1,2.742945305390208
NATHAN J WOLFE,nathan wolfe,PA,r,1,2.5995145785974794
"white, nathaniel j",nathaniel white,ME,d,2,-19.84094248010055
STEVE NATZ,natz steve,SD,d,1,-8.406317163972787
"navarro, ramiro, jr",navarro ramiro,OR,d,2,-31.540249158395866
"neace, todd",neace todd,KY,d,1,11.037668305938311
"neafcy, thomas j, jr",neafcy thomas,PA,r,2,6.93515107511767
"plotkin, neal",neal plotkin,WI,d,1,-9.06052344631164
"neal, robert s",neal robert,ME,d,1,1.2279640155238827
NEAL VESTAL,neal vestal,WV,d,1,2.3177917794560514
"neave, victoria",neave victoria,TX,d,1,-15.20411362272598
"neaves, ryan",neaves ryan,KY,d,1,-5.0789117857316874
NORM NEEDLEMAN,needleman norm,CT,d,1,1.574214978939338
"needleman, norman",needleman norman,CT,d,2,-4.374200021940199
"neff, william b",neff william,OH,d,1,-22.453555065156277
"negele, sharon k",negele sharon,IN,r,1,-5.733997167609708
"sinclair, neil",neil sinclair,AZ,d,1,-0.8991548537565848
"PHILIP ""PK"" O'NEILL",neill philip pk,NV,r,1,-8.052250570065986
NELLY NICOL,nelly nicol,MT,r,1,-8.515374637108401
RON NELSEN,nelsen ron,NV,d,1,-6.488907920538395
"nelson, patrick f",nelson patrick,NY,d,1,-14.055038327629639
"nelson, sandra",nelson sandra,OR,r,2,-8.98291370189986
SCOTT NELSON,nelson scott,ND,d,1,0.36444987095332415
"nelson, travis",nelson travis,OR,d,1,-0.008660927761837911
YOG NEPAL,nepal yog,TN,r,1,5.785280152665084
"nesiba, reynold f",nesiba reynold,SD,d,2,2.15716042874466
"ness, suzanne m",ness suzanne,IL,d,3,-5.045068430266628
"nestor, william (ty)",nestor ty william,WV,r,2,43.276340143227
SARA NETT-TORGRIMSON,nett sara torgrimson,MN,d,1,-4.222174730793633
"neubauer, timothy m",neubauer timothy,MD,r,1,-0.8779810921025231
NEVA PARKER,neva parker,CA,d,1,-13.355542431341327
"neville, patrick",neville patrick,CO,r,1,-6.180180763699127
RAY NEWMAN,newman ray,NH,d,1,36.67803692031368
"newman, scott j",newman scott,MN,r,1,-53.488112281247595
SUE NEWMAN,newman sue,NH,d,1,36.67803692031368
"newton, paul r",newton paul,NC,r,3,12.6648393508587
WESTON NEWTON,newton weston,SC,r,1,-10.444291464808611
"newton, william t",newton william,MD,r,1,2.6262315591602814
"nguyen, quang",nguyen quang,AZ,r,3,-8.276569938841334
"nguyen, rochelle",nguyen rochelle,NV,d,3,2.8817285449644583
STEPHANIE NGUYEN,nguyen stephanie,CA,d,1,4.168043871650788
"smith, nicholas (nick)",nicholas nick smith,IL,d,2,-3.9103903928569714
"ochs, nicholas r",nicholas ochs,HI,r,1,-16.09782865908216
"payne, nicholas",nicholas payne,OK,d,1,1.6656490885614943
NICHOLAS A PIRRO III,nicholas pirro,MA,r,1,16.224146305132486
"reddell, nicholas",nicholas reddell,KS,r,1,-2.3488434843639503
"tancheff, nicholas m",nicholas tancheff,HI,r,1,11.666118806945988
"zacchea, nicholas m",nicholas zacchea,NY,r,1,1.2863137849655004
STEPHANIE NICHOLE RIVERA,nichole rivera stephanie,PA,d,1,-0.4477684367627397
NICHOLE SEKERA,nichole sekera,ME,d,1,-12.333301906804628
NICHOLEEN P PECK,nicholeen peck,UT,r,1,-5.037334839242817
"nichols, robert",nichols robert,TX,r,1,-6.502110910009165
"nichols, sonja p",nichols sonja,NC,r,1,40.06600745642449
"nichols, tammy",nichols tammy,ID,r,3,-11.452398734086186
THONJA M NICHOLSON,nicholson thonja,IN,d,1,-1.8118444847748876
NICK PARO,nick paro,NY,r,1,-1.2274162213598032
NICK WALDEN POUBLON,nick poublon walden,OR,d,1,-20.497046927559392
NICK RAFTOPOULOS,nick raftopoulos,IL,d,1,-10.93703352153217
"santucci, nick",nick santucci,OH,r,2,5.663982079205805
"schroer, nick",nick schroer,MO,r,2,-3.5466180914354393
NICK SCHULTZ,nick schultz,CA,d,1,-1.0485022077002597
NICK SIMMONS,nick simmons,CT,d,1,-24.34570695408072
NICK K WADSWORTH,nick wadsworth,UT,d,1,-26.743804349214763
NICK WILSON,nick wilson,CA,r,1,3.226297959483409
"winkler, nick",nick winkler,SD,d,1,-26.536024834050902
"nickel, wiley",nickel wiley,NC,d,1,-4.63835454684121
"pisciottano, nickolas r",nickolas pisciottano,PA,d,2,3.847089657172513
"nicol, scotty",nicol scotty,WA,r,1,-1.3165059817037879
NICOLA TARZIA,nicola tarzia,CT,r,1,-0.5383160966861205
NICOLAS RAMOS,nicolas ramos,FL,d,1,-2.9741816550209776
"poore, nicole",nicole poore,DE,d,1,-6.773618990471878
"quick, nicole",nicole quick,NC,d,1,7.151209915546678
NICOLE STOICOVY-RUSCITTO,nicole ruscitto stoicovy,PA,d,1,-4.524626643529767
NICOLE SIDMAN,nicole sidman,NC,d,1,-1.0374195954874268
NICOLE L TOBIASSEN,nicole tobiassen,NM,r,1,-14.195857747945752
"torres, nicole j",nicole torres,NY,r,1,6.3287316346141935
NICOLE VENTOUR,nicole ventour,SC,d,1,-5.139020648081246
"ziccarelli, nicole w",nicole ziccarelli,PA,r,1,-7.339124302584534
"niello, roger",niello roger,CA,r,1,-11.385246891172848
TOD NIELSEN,nielsen tod,VT,r,1,-16.779304648194035
"niesscingolani, rebecca",niesscingolani rebecca,SC,d,1,-22.751564242568342
"nieves, rosaline",nieves rosaline,NY,r,3,3.6855338390687606
"sardot, niki",niki sardot,MT,r,1,13.900459208265744
"raypino, nikki",nikki raypino,UT,d,1,-17.10334288348853
"setzler, nikki",nikki setzler,SC,d,1,3.178874313422763
"torres, nikki",nikki torres,WA,r,1,-13.579317493771434
"niles, terri",niles terri,WA,d,2,-31.66369426321174
"rozic, nily d",nily rozic,NY,d,2,-1.6171390422369447
"turner, nina",nina turner,ID,d,1,-21.02601332412667
"yoakum, nina",nina yoakum,FL,d,1,0.320374772910073
"nix, randall o (randy)",nix randall randy,GA,r,1,-107.30467161966061
"nizami, sonia m",nizami sonia,MO,d,1,-7.332075201267575
"robertson, nkenge a",nkenge robertson,MI,r,1,6.469228180394037
NOAH NORDSTROM,noah nordstrom,TN,d,1,-8.519472740439419
NOAH ROBINSON,noah robinson,OR,r,1,12.552925111842
NOBLE,noble,TX,r,1,-4.0345515856383045
"noble, robert",noble robert,MI,r,1,-20.822910663221165
"noble, ron",noble ron,OR,r,1,-9.245882508072416
"nobles, twina",nobles twina,WA,d,1,-19.151413619909743
T'WINA NOBLES,nobles wina,WA,d,1,-13.023918074006577
"rodriquez, noel",noel rodriquez,CT,d,1,-23.41694868505669
"williams, noel, jr",noel williams,GA,r,1,-7.609948103141797
"nohrden, vicki l",nohrden vicki,CA,r,2,-9.155579056422784
"wood, nola",nola wood,MO,r,1,9.697376918058481
NOLAN WEST,nolan west,MN,r,1,-9.399436088172067
TED NORDBLUM,nordblum ted,CA,r,1,-5.591486820194612
"nordwick, suzzann",nordwick suzzann,MT,r,2,61.43775740912179
"thurston, norm",norm thurston,UT,r,2,-7.067449719182013
NORMA PEREZ SCHWARTZ,norma perez schwartz,FL,d,1,-3.211567604714741
"rendon, norma",norma rendon,SD,d,1,0.3573955914303246
NORMAN,norman,TX,d,1,1.3010047064303478
"sanderson, norman w, jr",norman sanderson,NC,r,2,-7.903023649442173
"shinkle, norman",norman shinkle,MI,r,1,4.697356541602691
ROB NORTH,north rob,VT,r,1,-31.634210247994787
"norton, robert",norton robert,SC,r,1,2.122014117293059
"nosse, rob",nosse rob,OR,d,1,-3.100478937330166
WILLIAM NOTTE,notte william,VT,d,1,-29.63116123963283
PERRY NOUIS,nouis perry,MN,r,1,-1.3248370033351549
"novak, rob",novak rob,HI,r,1,7.334104278703627
"novak, sara",novak sara,MT,d,3,42.722734122861105
"novak, todd",novak todd,WI,r,3,-10.483868651645196
PAUL NOVOTNY,novotny paul,MN,r,1,-5.139647339298058
"novotny, reid j",novotny reid,MD,r,1,-11.238319696910843
RICHARD T NOWAK,nowak richard,UT,r,1,6.564422902012588
TOM NOWLIN,nowlin tom,AR,d,1,6.679327523949141
"nuccio, tammy",nuccio tammy,CT,r,3,-17.497456288530895
"nutting, robert w",nutting robert,ME,r,2,-9.248983407792327
"oban, steve",oban steve,WA,r,1,-19.151413619909743
"oberacker, peter",oberacker peter,NY,r,3,-2.1395806017759362
"obrien, sandra",obrien sandra,OH,r,1,15.96302758746785
"obrien, sean j",obrien sean,OH,d,1,15.96302758746785
"obrien, shannon",obrien shannon,MT,d,1,13.900459208265744
TIM OBRIEN,obrien tim,IA,d,1,-4.164744307654942
"obrien, tim",obrien tim,IN,r,1,-8.917253222545536
"ochoabogh, rosilicie",ochoabogh rosilicie,CA,r,1,-12.670977157754184
"odea, tom",odea tom,CT,r,1,-24.695988587300505
"odenbach, scott",odenbach scott,SD,r,1,-22.71286026428534
"odenthal, ron",odenthal ron,MO,d,2,-6.263469368271252
"odonnell, patrick",odonnell patrick,CA,d,1,42.97328341825231
"odonnell, terry s",odonnell terry,OK,r,2,9.11419616197727
THOMAS ODONNELL,odonnell thomas,IA,d,1,2.940830904898313
"odowa, sahra",odowa sahra,MN,d,1,-40.48858360152398
TIMOTHY ODYKIRK,odykirk timothy,MI,d,1,-2.809843502656493
"oehlerking, philip",oehlerking philip,MO,r,2,-1.7233787296809684
"oelslager, scott",oelslager scott,OH,r,2,-9.801623947318845
"oglesby, xavier",oglesby xavier,WV,d,1,16.355206956858552
SONJA OGLETREE SATANI,ogletree satani sonja,SC,d,1,-6.525707285466258
"oh, timothy",oh timothy,ME,r,1,-9.17100149542214
"ohearne, timothy",ohearne timothy,NH,r,1,-9.631154433268215
"ohnstad, tod",ohnstad tod,WI,d,2,11.964508062314362
"ohtaki, peter",ohtaki peter,CA,r,1,4.141902224492327
"okimoto, val",okimoto val,HI,r,1,-16.159838128481105
PHIL OLALEYE,olaleye phil,GA,d,1,-4.96814135422234
SHAWN OLAUSON,olauson shawn,ND,d,1,8.687081823397527
"oler, travis",oler travis,ID,d,2,-0.6713037355493512
"olexia, ryan",olexia ryan,KY,d,1,-1.7802864253027266
"oliphant, sarasummer",oliphant sarasummer,PA,d,1,-8.269125771085495
VANESSA OLIVER,oliver vanessa,FL,r,1,-4.060801818318566
OLIVERSON,oliverson,TX,r,1,-3.789570111531738
"oliverson, tom",oliverson tom,TX,r,1,-5.5683055602606615
"oxendine, olivia",olivia oxendine,NC,r,1,18.562122905627763
OLIVIA SCHLOEGEL,olivia schloegel,ND,d,1,3.3390487038913363
"olivito, richard a",olivito richard,OH,d,1,4.4507904838060455
"olow, shukri",olow shukri,WA,d,1,34.08669102292162
ROLF A OLSEN,olsen rolf,ME,r,1,-2.556801448714454
"olsen, steven b",olsen steven,UT,d,1,2.3578117786174566
RANDI OLSON,olson randi,IL,d,1,-13.559730802306522
REED OLSON,olson reed,MN,d,1,3.1461262723606125
"olson, rick l",olson rick,IA,d,2,5.7243275518033
ROBERT J OLSON,olson robert,NV,r,1,3.6092229099746476
SCOTT P OLSON,olson scott,CA,r,1,15.918303686398808
"tarazi, omar",omar tarazi,OH,r,1,-3.100836079101642
"omara, thomas f",omara thomas,NY,r,1,8.134051693831953
"omokunde, supreme m",omokunde supreme,WI,d,2,0.28894268082025576
"oneal, timothy j",oneal timothy,PA,r,1,4.303193998320957
"oneill, william b (oneill)",oneill oneill william,NM,d,1,-17.67548847186219
"oneill, philip p (pk)",oneill philip pk,NV,r,2,-4.424526747593663
"oneill, robert e",oneill robert,RI,r,1,4.356153790967063
"onishi, richard h",onishi richard,HI,d,1,4.233481869290436
"only, shawn",only shawn,AR,d,1,-21.19689294786778
THOMAS OPPEL,oppel thomas,NH,d,1,-3.5670614540753944
"owens, orlando",orlando owens,WI,r,1,-7.064395180007466
"rivera, orlando j",orlando rivera,NY,r,2,-5.492076804961319
"sonza, orlando b, jr",orlando sonza,OH,r,1,-4.637741077841646
"ormsby, timm s",ormsby timm,WA,d,3,6.403838147683632
"orosco, steve",orosco steve,CT,r,1,-1.345856392620938
STEVEN OROSCO,orosco steven,CT,r,1,-1.0618612610824982
ORR,orr,TX,r,1,-1.1973204086730647
"orr, richard",orr richard,MO,d,1,-6.453782238929795
SHARI ORSER,orser shari,ND,d,1,-25.467784895111052
RICARDO ORTEGA,ortega ricardo,CA,d,1,-4.252846180825806
ORTIZ,ortiz,TX,d,1,-9.33571902252299
"ortiz, raul, jr",ortiz raul,CA,r,2,3.5439988113786765
"ortizvelez, sylvia",ortizvelez sylvia,WI,d,1,0.5915592442168531
"orwall, tina l",orwall tina,WA,d,2,15.74282291214885
"osborne, ron",osborne ron,NC,d,1,-15.668817162563101
"osborne, virgle j",osborne virgle,OR,r,1,-8.136243872394282
"rosa, oscar",oscar rosa,TX,r,1,24.53080075696833
"ospina, j d",ospina,CT,r,1,-6.005756422189357
"osta, sienna",osta sienna,FL,d,2,-11.101219502167584
STEVEN OTIS,otis steven,NY,d,1,-3.638990738609955
"otoole, shauna",otoole shauna,NY,d,1,-18.785538053778154
"ott, russell l",ott russell,SC,d,2,9.22465892719152
"ottney, ryan",ottney ryan,OH,d,1,-3.4487538894828305
STEVEN J OUELLETTE,ouellette steven,MA,d,1,12.893424166293117
"ourth, scott",ourth scott,IA,d,1,37.750528515865966
"outman, pat",outman pat,MI,r,3,-33.83105324281076
"outman, rick",outman rick,MI,r,1,-0.4832896145958756
"overdorf, toby",overdorf toby,FL,r,3,5.082194830355108
ROY A OWENS,owens roy,MA,r,1,-2.5205919179593224
SALLY OWENS,owens sally,IL,r,1,0.12126251875422867
STEPHEN OWENS,owens stephen,KS,r,1,-2.602491969851389
"oyogoa, willie m",oyogoa willie,GA,d,1,-9.068307516565177
"sultan, oz",oz sultan,NY,r,1,0.8723708896533111
"ozinga, tim",ozinga tim,IL,r,1,-11.76509066701226
"pace, tyler",pace tyler,AZ,r,1,1.6802094778347794
"pacheco, raquel",pacheco raquel,FL,d,1,-10.267474126486901
"pack, renee",pack renee,IN,d,2,-4.2151167287933315
SHERMAN PACKARD,packard sherman,NH,r,1,-13.283182154067287
"padgett, rickey (rick)",padgett rick rickey,NC,r,1,-39.30168558815333
"padilla, steve",padilla steve,CA,d,1,-1.965104989377874
"walsh, padraic",padraic walsh,MD,r,1,9.83011231527879
"walley, page",page walley,TN,r,1,-3.8286308455308244
"paiz, veronica",paiz veronica,MI,d,2,-15.71238662998039
"palacios, sev",palacios sev,NC,r,1,56.709556029314555
"palmer, roy g, iii",palmer roy,OH,r,1,34.36720933240585
VICTORIA PALMER,palmer victoria,WA,r,1,6.424686433611768
"palmer, wendy",palmer wendy,MT,d,1,5.302916187957763
WILLIAM PALMER,palmer william,NH,d,1,-8.873920345122933
"salamone, pam",pam salamone,CT,r,1,-13.303124043235679
"shernuk, pam",pam shernuk,KS,d,2,-5.096273053249537
"wolf, pam",pam wolf,MN,r,1,-2.59919148821006
"powershannley, pamela",pamela powershannley,AZ,d,1,39.72217905272905
"queen, pamela",pamela queen,MD,d,1,11.212867043695319
PAMELA SANDERSON,pamela sanderson,NH,d,1,-1.549525301727507
"snyder, pamela",pamela snyder,PA,d,1,39.58413833520158
"swartz, pamela d",pamela swartz,CA,d,1,-3.7996873840436383
"swift, pamela j",pamela swift,ME,d,1,-5.06595817818943
SANDRA PANEK,panek sandra,NH,r,1,-4.1842205066466605
"paniccia, william r, iii",paniccia william,RI,r,1,-3.1281970037150835
"prakash, pankaj",pankaj prakash,CT,r,1,-2.9375039896146458
"paolino, thomas j",paolino thomas,RI,r,3,-19.089520448498654
"papanicolaou, petros",papanicolaou petros,NY,r,1,20.90715387948259
STEVE PAPE,pape steve,MN,r,1,-1.3426911381649975
RENEE PAPLHAM,paplham renee,WI,d,1,-9.139942471655923
"pappas, sandra (sandy)",pappas sandra sandy,MN,d,2,1.824157170857589
"pappas, stephan a",pappas stephan,WY,r,1,1.8360257700221734
"papps, sheila",papps sheila,CT,d,1,-19.455952294197296
SAMANTHA PHYLLIS PARADIS,paradis phyllis samantha,ME,d,1,-28.04015563208026
SAM PARK,park sam,GA,d,1,4.056849408520247
"park, samuel",park samuel,GA,d,2,-2.9363840875195866
"wentling, parke h",parke wentling,PA,r,1,12.105640587855131
PARKER,parker,TX,r,1,-4.358092352976982
STELL PARKER SELBY,parker selby stell,DE,d,1,-6.542503096219639
"parker, tan",parker tan,TX,r,2,-18.84239049327661
"parker, vanessa",parker vanessa,GA,d,2,-5.917826180718034
"parkerselby, stell",parkerselby stell,DE,d,1,-4.507723938524533
"parkfreeman, william",parkfreeman william,GA,r,2,-3.247636432353797
VINCENT PARLATORE,parlatore vincent,FL,r,1,3.7901027245722645
"parlatore, vincent (vinny)",parlatore vincent vinny,FL,r,2,17.8279282912682
PARNELL WILLIAM TERRY,parnell terry william,ME,d,1,-18.368314083692187
"parris, rick",parris rick,OK,d,1,-6.280046096926867
"parry, wayne r",parry wayne,ME,r,2,5.807028442211127
SAMANTHA M POETTER PARSHALL,parshall poetter samantha,KS,r,1,-2.8167289114138683
"parsley, val",parsley val,SD,d,1,-4.060882760668736
"partridge, victoria",partridge victoria,CO,r,1,3.0740620093025512
"passa, thomas",passa thomas,ND,d,1,-20.648236353549066
"rhudy, patricia l (pat)",pat patricia rhudy,GA,d,2,4.3357738145910645
"sullivan, patrick (pat)",pat patrick sullivan,WA,d,1,-2.038586879513808
"pettey, pat h",pat pettey,KS,d,2,2.263991364199736
"proctor, pat",pat proctor,KS,r,3,12.518043725697817
PAT RITCHIE,pat ritchie,PA,d,1,-3.16263841772102
"shipley, pat",pat shipley,IA,d,1,0.44718128789373424
"skogen, pat",pat skogen,WI,d,1,-23.422575742212956
"soulliere, pat",pat soulliere,ID,d,2,-3.669209529515104
"wilsonpheanious, pat",pat wilsonpheanious,CT,d,1,-14.159434640715748
TODD M PATALANO,patalano todd,RI,d,1,23.9694210520786
"patel, sona",patel sona,KS,d,1,-17.46075354324158
TIM PATERSON,paterson tim,WI,r,1,-1.6292434182990476
"REINA ""REINA"" PATOCS",patocs reina reina,AZ,r,1,22.313571174182698
"possel, patricia (patti)",patricia patti possel,TN,r,1,-29.636724997411733
"peppers, patricia r",patricia peppers,MT,d,1,-15.411877394636015
"pike, patricia",patricia pike,MO,r,1,-7.969140680598727
"plantamura, patricia m",patricia plantamura,FL,d,1,-12.247467905328618
"roybalcaballero, patricia a",patricia roybalcaballero,NM,d,1,1.341531320255033
"rucker, patricia",patricia rucker,WV,r,2,9.362826735310652
"serpa, patricia a",patricia serpa,RI,d,2,17.420571467175698
"sigman, patricia",patricia sigman,FL,d,1,13.4636420956546
"smetana, patricia",patricia smetana,KS,d,1,-3.796846416712377
"smith, patricia a",patricia smith,PA,d,1,-44.69466950482213
"torresray, patricia t",patricia torresray,MN,d,1,-13.343069365500568
PATRICIA TURNER,patricia turner,NH,d,1,-5.06142401094516
"tylka, patricia a",patricia tylka,PA,r,1,7.325263586624622
"waters, patricia",patricia waters,TN,d,1,-6.183879320243108
PATRICK PEACOCK,patrick peacock,WA,r,1,-8.826621003332614
"penn, patrick",patrick penn,KS,r,3,-6.6838515513607994
"pentalow, patrick",patrick pentalow,CT,r,1,-5.0502373335185045
"reinert, patrick j",patrick reinert,GA,d,1,-6.857102290811863
"sais, patrick b",patrick sais,NM,r,1,-0.016383520949140973
PATRICK SCHMIDT,patrick schmidt,KS,d,1,1.9669069364269838
"sellers, patrick",patrick sellers,AL,d,1,0.3227552099816542
"sheehan, patrick",patrick sheehan,IL,r,1,-9.88751450601326
"sheehan, patrick",patrick sheehan,NY,r,2,-6.128516794497358
"snyder, patrick",patrick snyder,WI,r,3,-7.1180851400068335
"stefano, patrick j",patrick stefano,PA,r,1,-1.425181748843066
STEVE PATRICK,patrick steve,WV,d,1,-1.1617271777096363
"testin, patrick",patrick testin,WI,r,2,-2.78299624628612
"thomasbrouillette, patrick",patrick thomasbrouillette,IL,r,1,5.320528481585914
"thompson, patrick",patrick thompson,GA,d,1,-10.98841594546533
"wood, patrick j",patrick wood,MI,d,1,-54.57905865142644
"zucaro, patrizia",patrizia zucaro,CT,r,1,-18.40310299431114
PATTERSON,patterson,TX,r,1,-4.679190211540298
PATTI YOUNG,patti young,TN,d,1,-3.3983452639619713
"patton, thomas f",patton thomas,OH,r,3,-23.101452349138697
"schachtner, patty",patty schachtner,WI,d,2,0.5976802092177067
STEVE PAUGH,paugh steve,MT,d,1,-2.496189373921773
PAUL,paul,TX,r,1,-4.403559069691852
"piotrowski, paul",paul piotrowski,WI,d,1,-1.3645594346796504
"ray, paul",paul ray,UT,r,1,7.992320120963537
"paul, reagan l",paul reagan,ME,r,2,-0.009610370164244486
"renner, paul",paul renner,FL,r,2,-4.86685399788143
"rogers, paul d",paul rogers,KS,d,1,2.368326249634201
"rose, paul w",paul rose,TN,r,1,-18.639832346301475
"roselli, paul a",paul roselli,RI,d,3,-16.001515821563718
"rosino, paul",paul rosino,OK,r,1,-8.3939923960235
"ross, paul d",paul ross,WV,d,1,11.975243905983135
"royse, paul",paul royse,OK,r,1,3.901705148361577
"santucci, paul j",paul santucci,IL,r,1,-2.823480570253377
"santucci, paul m",paul santucci,RI,r,3,4.23628419861211
PAUL SARNOWSKI,paul sarnowski,MA,r,1,12.40782446963048
PAUL H SCHIRDUAN,paul schirduan,NH,r,1,5.903725977899047
"schumacher, paul",paul schumacher,NC,r,2,-2.745612816407034
PAUL SCIORTINO,paul sciortino,VT,r,1,-22.92824522753704
PAUL SCOTT,paul scott,NC,r,1,-0.0884663471130196
"sherrell, paul",paul sherrell,TN,r,1,5.514329030101393
PAUL SKUDLAREK,paul skudlarek,NH,d,1,-13.283182154067287
"smith, paul m",paul smith,MI,r,2,-5.1154040708747175
PAUL L SPENCER,paul spencer,NM,r,1,3.0926204619287674
"stearns, paul a",paul stearns,ME,r,1,-117.27449570256118
"stoddard, paul",paul stoddard,IL,d,1,-12.05970098116975
"takac, paul r, jr",paul takac,PA,d,2,3.0057849085304658
"taros, paul",paul taros,MI,r,1,-22.502653139445464
PAUL A TERRY,paul terry,NH,r,1,-4.298755673466697
"thomas, paul j",paul thomas,ND,r,1,5.115682683359317
"tinkle, paul j",paul tinkle,IN,r,1,-4.7578592167578435
"tittl, paul",paul tittl,WI,r,2,-9.525029023952094
PAUL TORKELSON,paul torkelson,MN,r,1,-7.909744254914436
PAUL D TUDOR,paul tudor,NH,r,1,-1.549525301727507
"tuss, paul",paul tuss,MT,d,2,42.53056355659986
"utke, paul",paul utke,MN,r,2,-9.7843439915667
"vogelheim, paul",paul vogelheim,WY,r,1,-23.40903114911181
"waggoner, paul",paul waggoner,KS,r,3,12.34364436590936
"weigel, paul",paul weigel,AZ,d,1,1.6802094778347794
"whitney, paul m",paul whitney,MI,d,1,-3.104600193235843
PAUL WICKENSIMER,paul wickensimer,SC,r,1,-5.907297391135348
PAUL WIKSTROM,paul wikstrom,MN,r,1,-8.317982737283593
"wojno, paul",paul wojno,MI,d,1,3.0302279152954554
"zeltwanger, paul",paul zeltwanger,OH,r,1,3.116486152305992
