code,geoid,state,chamber,district,name,pres16_total,pres16_dem,pres16_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,margin_2016,margin_2020,margin_2024
OK-H-27,40027,OK,lower,27,State House District 27,16753.0,4102.0,11617.0,19088.0,5262.0,13395.0,17659.0,4268.0,13067.0,-47.80838475730008,-43.592217398295546,-50.75858090568215
OK-H-9,40009,OK,lower,9,State House District 9,14579.0,3175.0,10559.0,16194.0,4106.0,11684.0,15893.0,4013.0,11582.0,-53.764380369884954,-47.99240025332489,-48.53478679063802
OK-H-83,40083,OK,lower,83,State House District 83,16619.0,6171.0,9355.0,17039.0,7419.0,9207.0,0.0,0.0,0.0,-20.507535746489758,-10.754240346445327,
OK-H-76,40076,OK,lower,76,State House District 76,16911.0,5004.0,10911.0,17858.0,6322.0,11070.0,0.0,0.0,0.0,-37.11592836946277,-27.299908003679853,
OK-H-37,40037,OK,lower,37,State House District 37,14767.0,3631.0,10367.0,15339.0,3942.0,11052.0,15094.0,4030.0,10782.0,-48.12116016573796,-47.418967587034814,-45.584661085606264
OK-H-90,40090,OK,lower,90,State House District 90,9998.0,3251.0,6003.0,11757.0,4631.0,6859.0,4172.0,1377.0,2706.0,-29.738491463151068,-19.39077458659704,-32.549595885378395
OK-H-93,40093,OK,lower,93,State House District 93,9385.0,4084.0,4689.0,9280.0,4917.0,4148.0,0.0,0.0,0.0,-6.896158668642426,8.483177054605626,
OK-H-74,40074,OK,lower,74,State House District 74,16694.0,3771.0,12006.0,18061.0,4890.0,12673.0,4820.0,1142.0,3577.0,-52.196235025670276,-44.31475260490805,-51.59991523627887
OK-H-59,40059,OK,lower,59,State House District 59,15940.0,2308.0,12967.0,16553.0,2429.0,13855.0,16470.0,2399.0,13845.0,-69.78068739770868,-70.16703512650454,-70.46294016252155
OK-H-53,40053,OK,lower,53,State House District 53,13788.0,3877.0,8824.0,15170.0,5419.0,9294.0,15829.0,5768.0,9683.0,-38.94968900086607,-26.337252769659486,-25.33816581451039
OK-H-63,40063,OK,lower,63,State House District 63,14839.0,3847.0,10300.0,15747.0,4253.0,11138.0,12481.0,2791.0,9475.0,-45.61391107655333,-44.73393541680203,-54.49209196151965
OK-H-57,40057,OK,lower,57,State House District 57,14408.0,2518.0,11141.0,14775.0,2801.0,11645.0,14019.0,2703.0,11071.0,-63.130536642506776,-61.22109926623287,-60.752141716277045
OK-H-60,40060,OK,lower,60,State House District 60,13824.0,3065.0,9875.0,16363.0,4668.0,11259.0,18764.0,5778.0,12606.0,-52.62751159196291,-41.38255792051233,-37.14099216710183
OK-H-46,40046,OK,lower,46,State House District 46,16484.0,7145.0,8191.0,18892.0,9461.0,8935.0,19695.0,9991.0,9213.0,-6.8205529473135105,2.8593172428788867,4.051239325140596
OK-H-54,40054,OK,lower,54,State House District 54,12896.0,3637.0,8230.0,13271.0,4765.0,8128.0,12219.0,4467.0,7445.0,-38.70396898963512,-26.083921507794926,-25.0
OK-H-55,40055,OK,lower,55,State House District 55,15553.0,2443.0,12418.0,16359.0,2641.0,13403.0,15654.0,2599.0,12802.0,-67.12199717381064,-67.07803540264273,-66.2489448737095
OK-H-43,40043,OK,lower,43,State House District 43,14190.0,3185.0,9942.0,15086.0,4424.0,10201.0,16779.0,5277.0,11134.0,-51.474061095452115,-39.500854700854696,-35.689476570592895
OK-H-47,40047,OK,lower,47,State House District 47,14960.0,2967.0,11068.0,16172.0,4244.0,11517.0,19451.0,5288.0,13764.0,-57.71998574991094,-46.145549140282974,-44.488767583455804
OK-H-58,40058,OK,lower,58,State House District 58,15908.0,1880.0,13240.0,16133.0,2103.0,13666.0,15609.0,2102.0,13228.0,-75.13227513227513,-73.32741454752997,-72.57664709719505
OK-H-41,40041,OK,lower,41,State House District 41,11819.0,2492.0,8535.0,14603.0,3954.0,10289.0,12893.0,3370.0,9277.0,-54.80185000453432,-44.477989187671135,-46.70672886850637
OK-H-66,40066,OK,lower,66,State House District 66,16391.0,3838.0,11728.0,17734.0,4451.0,12809.0,8465.0,1780.0,6539.0,-50.68739560580753,-48.42410196987254,-57.20639499939897
